architecture,run_idx,seed_run,jacobian_norm,cert_rate
text_only,0,42000,0.21686367690563202,1.0
text_only,1,42001,0.1992041915655136,1.0
text_only,2,42002,0.22305385768413544,1.0
text_only,3,42003,0.2082953304052353,1.0
text_only,4,42004,0.1976826786994934,1.0
text_only,5,42005,0.2466403990983963,1.0
text_only,6,42006,0.19414472579956055,1.0
text_only,7,42007,0.19980014860630035,1.0
text_only,8,42008,0.19989199936389923,1.0
text_only,9,42009,0.22696766257286072,1.0
text_only,10,42010,0.2196751832962036,1.0
text_only,11,42011,0.1966163069009781,1.0
text_only,12,42012,0.22832170128822327,1.0
text_only,13,42013,0.21051695942878723,1.0
text_only,14,42014,0.19009685516357422,1.0
text_only,15,42015,0.21464212238788605,1.0
text_only,16,42016,0.20298096537590027,1.0
text_only,17,42017,0.21242104470729828,1.0
text_only,18,42018,0.21102392673492432,1.0
text_only,19,42019,0.21535320580005646,1.0
text_only,20,42020,0.21610808372497559,1.0
text_only,21,42021,0.23043805360794067,1.0
text_only,22,42022,0.2172781229019165,1.0
text_only,23,42023,0.21316811442375183,1.0
text_only,24,42024,0.20875456929206848,1.0
text_only,25,42025,0.20393340289592743,1.0
text_only,26,42026,0.21307949721813202,1.0
text_only,27,42027,0.20973080396652222,1.0
text_only,28,42028,0.21269994974136353,1.0
text_only,29,42029,0.20159824192523956,1.0
text_only,30,42030,0.21804042160511017,1.0
text_only,31,42031,0.2028980851173401,1.0
text_only,32,42032,0.23967961966991425,1.0
text_only,33,42033,0.22972534596920013,1.0
text_only,34,42034,0.2087537944316864,1.0
text_only,35,42035,0.1968386024236679,1.0
text_only,36,42036,0.20320558547973633,1.0
text_only,37,42037,0.20682163536548615,1.0
text_only,38,42038,0.2151113599538803,1.0
text_only,39,42039,0.21551980078220367,1.0
text_only,40,42040,0.22633187472820282,1.0
text_only,41,42041,0.20929202437400818,1.0
text_only,42,42042,0.20410245656967163,1.0
text_only,43,42043,0.2040051519870758,1.0
text_only,44,42044,0.20061984658241272,1.0
text_only,45,42045,0.22096213698387146,1.0
text_only,46,42046,0.22195979952812195,1.0
text_only,47,42047,0.20921270549297333,1.0
