entropy_level,conflict_level,run_idx,seed_run,jacobian_norm,output_entropy,m_vide
<<<<<<< HEAD
0.05,0.0,0,42000,1.7091295045901234e-10,3.462739817149064e-08,0.0
0.05,0.0,1,42001,6.058553503584521e-15,0.08459751405395166,0.0
0.05,0.0,2,42002,0.6963182687759399,0.6931728554316137,0.0
0.05,0.0,3,42003,6.403603765647858e-05,0.00027024727878468033,0.0
0.05,0.0,4,42004,0.0009383716387674212,0.003079458822371571,0.0
0.05,0.0,5,42005,3.1773981845617527e-06,3.45387763949107e-08,0.0
0.05,0.0,6,42006,0.010126146487891674,0.02344722718342711,0.0
0.05,0.0,7,42007,5.708502767709511e-11,3.456535735456592e-08,0.0
0.05,0.0,8,42008,0.030709875747561455,0.6902522493132551,0.0
0.05,0.0,9,42009,0.13421295583248138,0.27146688393238333,0.0
0.1,0.0,0,42000,2.7799867893918417e-05,0.00015972970186033981,0.0
0.1,0.0,1,42001,1.153460829073083e-07,0.37574754672288646,0.0
0.1,0.0,2,42002,0.6954163312911987,0.7031763689687581,0.0
0.1,0.0,3,42003,0.01364029012620449,0.034737443464548455,0.0
0.1,0.0,4,42004,0.048957303166389465,0.09086816521602079,0.0
0.1,0.0,5,42005,0.0030491235665977,5.643253579809239e-08,0.0
0.1,0.0,6,42006,0.1529214233160019,0.22165806841355806,0.0
0.1,0.0,7,42007,1.386820076731965e-05,7.23402328558849e-05,0.0
0.1,0.0,8,42008,0.26998651027679443,0.7045859628878225,0.0
0.1,0.0,9,42009,0.4100220501422882,0.9866849569721862,0.0
0.2,0.0,0,42000,0.010900846682488918,0.036792124750327004,0.0
0.2,0.0,1,42001,0.0007135862833820283,0.7406576539837413,0.0
0.2,0.0,2,42002,0.6675480604171753,0.8888274038652971,0.0
0.2,0.0,3,42003,0.18371368944644928,0.3818128757952898,0.0
0.2,0.0,4,42004,0.29044508934020996,0.36756483620193614,0.0
0.2,0.0,5,42005,0.08885139226913452,0.0006103499607785377,0.0
0.2,0.0,6,42006,0.45005881786346436,0.5923068528532878,0.0
0.2,0.0,7,42007,0.0068622310645878315,0.025978858459758218,0.0
0.2,0.0,8,42008,0.49920591711997986,0.9139527765546304,0.0
0.2,0.0,9,42009,0.42747390270233154,1.5994392836028317,0.0
0.5,0.0,0,42000,0.31442052125930786,0.9296099052468543,0.0
