canal,entropy_level,run_idx,seed_run,jacobian_norm,output_entropy,duration_ms
<<<<<<< HEAD
text,0.05,0,42000,9.390861569272269e-13,0.00011571870709303766,1069.7095394134521
text,0.05,1,42001,0.003201155224815011,0.0009909456130117178,1090.101957321167
text,0.05,2,42002,0.31938910484313965,0.05451340973377228,1138.3569240570068
text,0.05,3,42003,5.546836018555372e-16,0.00011571870709303766,959.6455097198486
text,0.05,4,42004,0.36575591564178467,0.07354764640331268,1029.280424118042
text,0.05,5,42005,8.848826837493107e-06,0.00012129919196013361,982.7334880828857
text,0.05,6,42006,0.061552587896585464,0.011920025572180748,987.1628284454346
text,0.05,7,42007,0.018916133791208267,0.0036055732052773237,1012.7041339874268
text,0.05,8,42008,1.9930730559281074e-05,0.0001238065306097269,1072.5345611572266
text,0.05,9,42009,0.3807515799999237,0.06607899814844131,1000.9801387786865
text,0.1,0,42000,7.862016900617164e-06,0.00011883646220667288,3384.984254837036
text,0.1,1,42001,0.3464379608631134,0.05540274828672409,3351.158380508423
text,0.1,2,42002,2.7555747032165527,0.33546751737594604,6556.7145347595215
text,0.1,3,42003,1.296355520707948e-07,0.00011585312313400209,3336.036443710327
text,0.1,4,42004,2.526188850402832,0.3389514684677124,3797.4648475646973
text,0.1,5,42005,0.014817453920841217,0.00510867964476347,3020.0798511505127
text,0.1,6,42006,1.4326369762420654,0.16263926029205322,3785.9840393066406
text,0.1,7,42007,0.9158698916435242,0.09680631011724472,3558.516502380371
text,0.1,8,42008,0.028359871357679367,0.006480327341705561,6129.250764846802
text,0.1,9,42009,2.8413798809051514,0.33304017782211304,4596.0023403167725
text,0.2,0,42000,0.016447754576802254,0.004185087978839874,16087.988376617432
text,0.2,1,42001,3.150468587875366,0.427354633808136,17865.205764770508
text,0.2,2,42002,5.849104404449463,0.7731151580810547,8730.753660202026
text,0.2,3,42003,0.003011425258591771,0.0017442067619413137,15157.575845718384
text,0.2,4,42004,5.062160968780518,0.5902580618858337,15144.485235214233
text,0.2,5,42005,0.5807057619094849,0.11245013773441315,17642.069816589355
text,0.2,6,42006,5.39318323135376,0.45168134570121765,13714.029550552368
text,0.2,7,42007,5.198609352111816,0.43367037177085876,15890.738248825073
text,0.2,8,42008,1.071947693824768,0.18701238930225372,9671.303987503052
text,0.2,9,42009,5.786543369293213,0.6673471331596375,13550.066471099854
text,0.5,0,42000,2.1551923751831055,0.5238673090934753,897.6120948791504
text,0.5,1,42001,5.902800559997559,1.8622691631317139,895.5228328704834
text,0.5,2,42002,4.736776828765869,2.421560764312744,899.2054462432861
text,0.5,3,42003,1.2219167947769165,0.45583489537239075,896.0220813751221
text,0.5,4,42004,5.664250373840332,1.231053352355957,892.841100692749
text,0.5,5,42005,3.7593367099761963,0.5446311235427856,881.8116188049316
text,0.5,6,42006,8.211727142333984,1.0577304363250732,896.1565494537354
