canal,entropy_level,run_idx,seed_run,jacobian_norm,output_entropy,duration_ms
text,0.05,31,42031,0.004031978081911802,10.192440032958984,21.031
text,0.05,32,42032,0.004381951410323381,10.17595100402832,20.813
text,0.05,33,42033,0.002491795225068927,10.161992073059082,21.211
text,0.05,34,42034,0.0026713081169873476,10.184457778930664,21.295
text,0.05,35,42035,0.003130139084532857,10.163215637207031,21.664
text,0.05,36,42036,0.004821219015866518,10.182663917541504,21.383
text,0.05,37,42037,0.004740951117128134,10.17660140991211,21.616
text,0.05,38,42038,0.006644200533628464,10.182697296142578,21.518
text,0.05,39,42039,0.0031959181651473045,10.196470260620117,21.579
text,0.05,40,42040,0.006036972161382437,10.17270278930664,21.114
text,0.05,41,42041,0.005005681421607733,10.170220375061035,21.738
text,0.05,42,42042,0.004048439674079418,10.191393852233887,20.948
text,0.05,43,42043,0.005926120560616255,10.167472839355469,20.923
text,0.05,44,42044,0.002948738168925047,10.179935455322266,20.304
text,0.05,45,42045,0.003074751468375325,10.182478904724121,20.376
text,0.05,46,42046,0.003489587688818574,10.181844711303711,20.168
text,0.05,47,42047,0.003641808172687888,10.168421745300293,19.968
text,0.05,48,42048,0.0031673244666308165,10.162711143493652,19.9
text,0.05,49,42049,0.006888373289257288,10.17587661743164,19.904
text,0.1,0,42000,0.0015522721223533154,10.508513450622559,19.785
text,0.1,1,42001,0.002896976424381137,10.507842063903809,19.908
text,0.1,2,42002,0.0018440504791215062,10.499519348144531,19.845
text,0.1,3,42003,0.0021771856117993593,10.510010719299316,20.108
text,0.1,4,42004,0.0016398553270846605,10.50288200378418,19.923
text,0.1,5,42005,0.0015781013062223792,10.50832462310791,20.252
text,0.1,6,42006,0.004057694226503372,10.50632381439209,19.977
text,0.1,7,42007,0.0015464246971532702,10.507723808288574,21.462
text,0.1,8,42008,0.0019102271180599928,10.505220413208008,20.06
text,0.1,9,42009,0.0015978285809978843,10.506770133972168,20.239
text,0.1,10,42010,0.00513836182653904,10.504334449768066,19.956
text,0.1,11,42011,0.0018161009065806866,10.510770797729492,21.108
text,0.1,12,42012,0.001996199833229184,10.510356903076172,20.591
text,0.1,13,42013,0.0021317072678357363,10.501582145690918,20.801
text,0.1,14,42014,0.001706229173578322,10.507747650146484,20.608
text,0.1,15,42015,0.0017720726318657398,10.50772476196289,20.715
text,0.1,16,42016,0.0019984841346740723,10.503833770751953,20.744
text,0.1,17,42017,0.0021852997597306967,10.501502990722656,21.007
text,0.1,18,42018,0.00201554037630558,10.504919052124023,20.793
text,0.1,19,42019,0.0015413552755489945,10.501958847045898,21.204
text,0.1,20,42020,0.0024425415322184563,10.511173248291016,20.797
text,0.1,21,42021,0.002208018209785223,10.505769729614258,21.059
text,0.1,22,42022,0.0022815794218331575,10.503641128540039,20.723
text,0.1,23,42023,0.00270485901273787,10.50440788269043,20.668
text,0.1,24,42024,0.00190513557754457,10.505719184875488,20.595
text,0.1,25,42025,0.0018034952227026224,10.503782272338867,20.844
text,0.1,26,42026,0.0017555978847667575,10.503870010375977,22.575
text,0.1,27,42027,0.0019142787205055356,10.507177352905273,20.785
text,0.1,28,42028,0.0015662626828998327,10.50391674041748,20.797
